Timestamp,AccountID,ISIN,NetPayout,Status
2026-01-23T15:46:20.955581700,ACC-1001,TH12345678,2250.00,COMPLETED
2026-01-23T15:46:21.031513800,ACC-1002,TH12345678,11250.00,COMPLETED
2026-01-23T15:46:21.066813200,ACC-007,TH12345678,45000.00,COMPLETED
2026-01-23 15:51:17,ACC-1001,TH12345678,2250.00,COMPLETED
2026-01-23 15:51:17,ACC-1002,TH12345678,11250.00,COMPLETED
2026-01-23 15:51:17,ACC-007,TH12345678,45000.00,COMPLETED
2026-01-23 16:01:39,ACC-1001,TH12345678,2250.00,COMPLETED
2026-01-23 16:01:39,ACC-1002,TH12345678,11250.00,COMPLETED
2026-01-23 16:01:39,ACC-007,TH12345678,45000.00,COMPLETED
2026-01-23 16:07:17,ACC-1001,TH12345678,2250.00,COMPLETED
2026-01-23 16:07:17,ACC-1002,TH12345678,10625.00,COMPLETED
2026-01-23 16:07:17,ACC-007,TH12345678,42500.00,COMPLETED
2026-01-23 16:12:33,ACC-1001,TH12345678,2250.00,COMPLETED
2026-01-23 16:12:33,ACC-1002,TH12345678,10625.00,COMPLETED
2026-01-23 16:12:33,ACC-007,TH12345678,42500.00,COMPLETED
2026-01-23 16:16:39,ACC-1001,TH12345678,2250.00,COMPLETED
2026-01-23 16:16:39,ACC-1002,TH12345678,10625.00,COMPLETED
2026-01-23 16:16:39,ACC-007,TH12345678,42500.00,COMPLETED
2026-01-23 16:23:55,ACC-1001,TH12345678,2250.00,COMPLETED
2026-01-23 16:23:56,ACC-1002,TH12345678,10625.00,COMPLETED
2026-01-23 16:23:56,ACC-007,TH12345678,42500.00,COMPLETED
2026-01-23 16:30:05,ACC-1001,TH12345678,2245.00,COMPLETED
2026-01-23 16:30:05,ACC-1002,TH12345678,10620.00,COMPLETED
2026-01-23 16:30:05,ACC-007,TH12345678,42495.00,COMPLETED
